title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],1.0,701.4023359999993
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],2.0,693.8003120000017
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],3.0,684.6000359999973
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],4.0,666.5006629999948
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],5.0,645.1954050000058
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],6.0,630.1537079999982
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],7.0,619.6303470000018
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],8.0,601.197693999998
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],9.0,581.9078269999985
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],10.0,572.9157140000026
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],11.0,273.3577150537635
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],12.0,42.728612903225795
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],13.0,40.66346774193546
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],14.0,39.861693548387116
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],15.0,37.510317204301074
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],17.0,33.70566666666671
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],16.0,34.97390860215053
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],19.0,33.18607526881721
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],18.0,34.93583333333332
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],21.0,27.477290322580625
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],20.0,32.536655913978485
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],23.0,25.41732795698925
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],22.0,27.44907526881722
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],25.0,22.12131720430108
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],24.0,23.836919354838717
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],27.0,20.77477419354839
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],26.0,19.717897849462357
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],29.0,8.2412311827957
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],28.0,17.77991397849462
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.0,0.814
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,0.814
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.8,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.6,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.4,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.2,0.814
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,1.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],1.0,0.004789999999999897
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],2.0,0.005418000000000044
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],3.0,0.005418000000000044
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],4.0,0.005418000000000044
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],5.0,0.005418000000000044
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],6.0,0.005418000000000044
