title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Baseline,1.0,354.83833118362327
Time Error,Progress (steps),Error (s),Baseline,2.0,397.3238151061712
Time Error,Progress (steps),Error (s),Baseline,3.0,286.6073514240962
Time Error,Progress (steps),Error (s),Baseline,4.0,123.98499297821022
Time Confidence,Confidence,Probability correct,Baseline,0.8,0.9827928524156188
Time Confidence,Confidence,Probability correct,Baseline,0.6,0.031169500257599177
Time Confidence,Confidence,Probability correct,Baseline,0.4,0.0023157082207641835
Time Confidence,Confidence,Probability correct,Baseline,0.2,0.2216
Steps Error,Progress (steps),Error (steps),Baseline,1.0,1.305751369972707
Steps Error,Progress (steps),Error (steps),Baseline,2.0,1.3933505338643681
Steps Error,Progress (steps),Error (steps),Baseline,3.0,1.39496570063469
Steps Error,Progress (steps),Error (steps),Baseline,4.0,0.0
Steps Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.6,0.19461617722823288
Steps Confidence,Confidence,Probability correct,Baseline,0.4,0.19554869419786441
Steps Confidence,Confidence,Probability correct,Baseline,0.2,0.152
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],1.0,318.5502386129199
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],2.0,133.06453801801138
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],3.0,131.34356915536233
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],4.0,36.542575581644
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,0.074
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,0.9880873593646592
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,0.5780525502318392
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,0.6456966422230799
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],1.0,1.4687790848182019
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],2.0,0.815331777292546
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],3.0,0.33753128179440267
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],4.0,0.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,0.152
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,0.8051262235960845
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,0.5292679789013252
Time Error,Progress (steps),Error (s),Neural Network [5|8],1.0,212.38914138129434
Time Error,Progress (steps),Error (s),Neural Network [5|8],2.0,209.39848902907463
Time Error,Progress (steps),Error (s),Neural Network [5|8],3.0,15.574402479961721
Time Error,Progress (steps),Error (s),Neural Network [5|8],4.0,3.3074789591538973
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.8,0.995916852264291
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.5,0.4480069324090121
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.6,0.9791666666666666
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.7,0.9981214777708203
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.9,0.994908165120931
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.4,0.5119818652849741
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.2,0.27085201793721975
Time Confidence,Confidence,Probability correct,Neural Network [5|8],0.3,0.2572416774751405
Steps Error,Progress (steps),Error (steps),Neural Network [5|8],1.0,0.2632717227504726
Steps Error,Progress (steps),Error (steps),Neural Network [5|8],2.0,0.7680920022758675
Steps Error,Progress (steps),Error (steps),Neural Network [5|8],3.0,0.3915184398871016
Steps Error,Progress (steps),Error (steps),Neural Network [5|8],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|8],0.8,0.9936708860759493
Steps Confidence,Confidence,Probability correct,Neural Network [5|8],0.6,0.9225690276110444
Steps Confidence,Confidence,Probability correct,Neural Network [5|8],0.5,0.7032683486238532
Steps Confidence,Confidence,Probability correct,Neural Network [5|8],0.7,0.8767152206037576
Steps Confidence,Confidence,Probability correct,Neural Network [5|8],0.4,0.6443741527338455
Steps Confidence,Confidence,Probability correct,Neural Network [5|8],0.3,0.19134396355353075
