title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (%),Error (s),Baseline,1.0,342.62690823671744
Time Error,Progress (%),Error (s),Baseline,2.0,390.4907670768977
Time Error,Progress (%),Error (s),Baseline,3.0,282.4526811398685
Time Error,Progress (%),Error (s),Baseline,4.0,122.35425437639805
Time Confidence,Confidence,Probability correct,Baseline,0.8,0.9931972789115646
Time Confidence,Confidence,Probability correct,Baseline,0.6,0.02513227513227513
Time Confidence,Confidence,Probability correct,Baseline,0.4,0.0026455026455026454
Time Confidence,Confidence,Probability correct,Baseline,0.2,0.243
Steps Error,Progress (steps),Error (steps),Baseline,1.0,1.2988189418094345
Steps Error,Progress (steps),Error (steps),Baseline,2.0,1.395263150541583
Steps Error,Progress (steps),Error (steps),Baseline,3.0,1.395263150541583
Steps Error,Progress (steps),Error (steps),Baseline,4.0,0.0
Steps Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.6,0.19444444444444445
Steps Confidence,Confidence,Probability correct,Baseline,0.4,0.19444444444444445
Steps Confidence,Confidence,Probability correct,Baseline,0.2,0.147
Time Error,Progress (%),Error (s),Average Tree [0.8|0.19|0.01],1.0,318.62433446299747
Time Error,Progress (%),Error (s),Average Tree [0.8|0.19|0.01],2.0,138.52049758052434
Time Error,Progress (%),Error (s),Average Tree [0.8|0.19|0.01],3.0,139.59058268281274
Time Error,Progress (%),Error (s),Average Tree [0.8|0.19|0.01],4.0,42.18084821782518
Time Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.1,0.041
Time Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.4,0.9931972789115646
Time Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.2,0.626984126984127
Time Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.3,0.6044973544973545
Steps Error,Progress (steps),Error (steps),Average Tree [0.8|0.19|0.01],1.0,1.4774393388562335
Steps Error,Progress (steps),Error (steps),Average Tree [0.8|0.19|0.01],2.0,0.336787657027281
Steps Error,Progress (steps),Error (steps),Average Tree [0.8|0.19|0.01],3.0,0.3413698020208495
Steps Error,Progress (steps),Error (steps),Average Tree [0.8|0.19|0.01],4.0,0.01178265855489032
Steps Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.1,0.147
Steps Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.4,0.9931972789115646
Steps Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.2,0.8055555555555556
Steps Confidence,Confidence,Probability correct,Average Tree [0.8|0.19|0.01],0.3,0.8029100529100529
