title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],1.0,630.5106199999996
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],2.0,619.6977199999986
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],3.0,599.8069010000014
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],4.0,580.7344530000074
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],5.0,564.3694279999987
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],6.0,544.0547729999998
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],7.0,523.2378449999992
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],8.0,498.8708309999996
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],9.0,490.3417020000027
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],10.0,482.29601199999064
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],11.0,461.7266850000026
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],12.0,449.63093699999973
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],13.0,428.0798450000001
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],14.0,411.5441639999995
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],15.0,390.0355639999993
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],17.0,27.015236966824645
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],16.0,152.09109478672974
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],19.0,22.599194312796204
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],18.0,23.04175355450237
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],21.0,23.619767772511857
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],20.0,22.01572511848343
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],23.0,18.90511848341232
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],22.0,21.763763033175366
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],25.0,13.482914691943128
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],24.0,15.906890995260659
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],27.0,15.250080568720383
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],26.0,13.815744075829382
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],29.0,6.676895734597152
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],28.0,11.272431279620843
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.0,0.789
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,0.789
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.6,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.4,0.870789957134109
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.2,0.789
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,0.789
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],1.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],2.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],3.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],4.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],5.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],6.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],7.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],8.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],9.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],10.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],11.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],12.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],13.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],14.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],15.0,0.004109999999999908
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],17.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],16.0,0.0020000000000000013
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],19.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],18.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],21.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],20.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],23.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],22.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],25.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],24.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],27.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],26.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],29.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],28.0,0.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.0,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.6,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.4,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.2,1.0
Steps Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,1.0
