title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Baseline,1.0,218.31373999999767
Time Error,Progress (steps),Error (s),Baseline,2.0,104.94283999999884
Time Error,Progress (steps),Error (s),Baseline,3.0,67.42166599999985
Time Error,Progress (steps),Error (s),Baseline,4.0,48.634899999999355
Time Error,Progress (steps),Error (s),Baseline,5.0,37.72510000000054
Time Error,Progress (steps),Error (s),Baseline,6.0,30.38253599999995
Time Error,Progress (steps),Error (s),Baseline,7.0,25.510724999999894
Time Error,Progress (steps),Error (s),Baseline,8.0,21.75523799999987
Time Error,Progress (steps),Error (s),Baseline,9.0,18.88176800000001
Time Error,Progress (steps),Error (s),Baseline,10.0,16.67107999999993
Time Error,Progress (steps),Error (s),Baseline,11.0,14.952929
Time Error,Progress (steps),Error (s),Baseline,12.0,13.31490000000003
Time Error,Progress (steps),Error (s),Baseline,13.0,12.164380000000012
Time Error,Progress (steps),Error (s),Baseline,14.0,10.927591999999986
Time Error,Progress (steps),Error (s),Baseline,15.0,9.895805000000014
Time Error,Progress (steps),Error (s),Baseline,17.0,8.11442300000001
Time Error,Progress (steps),Error (s),Baseline,16.0,8.971297999999983
Time Error,Progress (steps),Error (s),Baseline,19.0,6.769980999999995
Time Error,Progress (steps),Error (s),Baseline,18.0,7.363819999999998
Time Error,Progress (steps),Error (s),Baseline,21.0,5.662089000000003
Time Error,Progress (steps),Error (s),Baseline,20.0,6.191700000000039
Time Error,Progress (steps),Error (s),Baseline,23.0,4.462711000000001
Time Error,Progress (steps),Error (s),Baseline,22.0,5.026680000000012
Time Error,Progress (steps),Error (s),Baseline,25.0,3.452080000000005
Time Error,Progress (steps),Error (s),Baseline,24.0,3.8592900000000077
Time Error,Progress (steps),Error (s),Baseline,27.0,2.476661999999999
Time Error,Progress (steps),Error (s),Baseline,26.0,3.000371999999998
Time Error,Progress (steps),Error (s),Baseline,29.0,1.497709
Time Error,Progress (steps),Error (s),Baseline,28.0,2.0212699999999986
Time Confidence,Confidence,Probability correct,Baseline,0.0,0.2165
Time Confidence,Confidence,Probability correct,Baseline,0.1,0.9663333333333334
Time Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.9,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.7,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.6,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.5,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.4,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.2,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.3,1.0
Steps Error,Progress (steps),Error (steps),Baseline,1.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,2.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,3.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,4.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,5.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,6.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,7.0,0.0
